,식당명,대표메뉴,주소
278,미진,모밀국수,서울특별시 종로구 청진동 146
279,옛집,국수,서울특별시 용산구 한강로1가 231-23
280,사발,닭국수,서울특별시 종로구 내수동 72
281,만나손칼국수,콩국수,서울특별시 중구 충무로5가 8-2
282,톰볼라,피자,서울특별시 서초구 반포동 106-8
283,피자아이코닉,피자,서울특별시 강남구 삼성동 166-6
284,지노스뉴욕피자,피자,서울특별시 용산구 이태원동 457-3
285,우시야,한우,서울특별시 강남구 논현로 159길 11
286,옴팡집,한우,서울특별시 영등포구 여의도동 13-3
287,뜨락,한우,서울특별시 강남구 청담동 130-13
288,마얘,디저트,서울특별시 서초구 반포동 106-5
289,Little&Much,디저트,서울특별시 강남구 삼성동 10-8
290,디저트리,디저트,서울특별시 강남구 신사동 653-7
291,펠앤콜,수제아이스크림,서울특별시 마포구 상수동 310-11
292,몰리스팝스,수제아이스크림,서울특별시 마포구 서교동 332-20
293,카카오봄,젤라또,서울특별시 용산구 이태원동 648
294,소고산제일루,훠궈,서울특별시 마포구 서교동 366-13
295,삼국지,훠궈,서울특별시 마포구 연남동 259-4
296,마라샹궈,훠궈,서울특별시 종로구 통인동 147-15
297,평가옥,이북 음식,서울특별시 강남구 삼성동 143-1
298,동무밥상,이북 음식,서울특별시 마포구 합정동 381-64
299,만두집,평양 만두,서울특별시 강남구 신사동 661-1
300,도우룸,파스타,서울특별시 서초구 방배동 797-20
301,이태리재,파스타,서울특별시 종로구 소격동 158-1
302,쿠촐로오스테리아,파스타,서울특별시 용산구 용산동2가 45-13
303,레호이,베트남쌀국수 #반미,서울특별시 용산구 이태원동 261-9
304,안,베트남쌀국수,서울특별시 마포구 연남동 387-8
305,소이연남,태국 국수,서울특별시 마포구 연남동 229-67
306,라멘베라보,일본라면,서울특별시 마포구 망원동 385-39
307,하카다분코,일본라면,서울특별시 마포구 상수동 93-28
308,멘야하나비,일본라면,서울특별시 송파구 송파동 57
309,평양집,곱창 #부속고기,서울특별시 용산구 한강로동 137-1
310,까사디노아,이탈리안 가정식,서울특별시 마포구 연남동 257-8 1층
311,떡의미학,떡,서울특별시 서대문구 연희동 89-50
312,비원떡집,떡,서울특별시 종로구 수송동 25-2
313,낙원떡집,떡,서울특별시 종로구 낙원동 1
314,오통영,굴전,서울특별시 강남구 청담동 88
315,안동장,굴짬뽕 #깐풍새우,서울특별시 중구 을지로3가 315-18
316,신성식당,굴보쌈,서울특별시 중구 북창동 81
317,덕자네방앗간,쌀 떡볶이,서울특별시 서초구 서초동 1303-10
318,셀프하우스,마늘 떡볶이,서울특별시 강동구 성내동 595
319,루비 떡볶이,새우깡 떡볶이,서울특별시 강남구 신사동 653-2
320,참식당생대구전문점,대구탕,서울특별시 마포구 용강동 43-2
321,갯바위,대구탕,서울특별시 관악구 봉천동 876-19
322,포담,딤섬,서울특별시 종로구 통인동 137-7
323,인왕식당,소머리국밥,서울특별시 종로구 통인동 27-2
324,따빠스구르메,스페인 요리,서울특별시 종로구 통인동 137-9
325,통인스윗,에그타르트,서울특별시 종로구 통인동 73
326,산호,문어숙회,서울특별시 강남구 신사동 525-7
327,고래불,문어숙회,서울특별시 강남구 역삼1동 828-53
328,원조숯불소금구이,돼지 특수부위 치마살,서울특별시 광진구 화양동 20-25
329,오돌,돼지 특수부위  꼬들살,서울특별시 영등포구 당산동4가 1-145
330,미갈매기살,돼지 특수부위 갈매기살,서울특별시 종로구 돈의동 7-1
331,정돈,돈가스,서울특별시 종로구 명륜4가 107 지하 1층
332,명동돈가스,돈가스,서울특별시 중구 명동1가 59-13
333,안즈,돈가스,서울특별시 중구 수하동 66 페럼타워빌딩 지하1층
334,대원식당,생선구이 #고등어 구이,서울특별시 용산구 용산동3가 1-64
335,다미,생선구이 #메로 구이,서울특별시 영등포구 여의도동 36-4
336,퓨전선술집,생선구이 #은대구 된장구이,서울특별시 마포구 합정동 383-9
337,나노하나,이자까야,서울특별시 마포구 연남동 260-16
338,바라티에,파스타,서울특별시 마포구 동교동 148-2
339,서대문양꼬치,양꼬치 #중식 #양고기 전골,서울특별시마포구 연남동 258-1
340,강가네맷돌빈대떡,막걸리 #감자전 #빈대떡,서울특별시 용산구 한남동 641-9
341,백곰막걸리&양조장,막걸리 #가자미찜 #수육,서울특별시 강남구 신사동 657-7
342,남도마루,막걸리 #남도음식,서울특별시 영등포구 여의도동 15-24
343,시골야채된장,된장비빔밥,서울특별시 강남구 서초동 1308-1
344,개화옥,된장국수,서울특별시 강남구 신사동 661-18
345,대복집,된장전골,서울특별시 종로구 적선동 13-2
346,여수 오동도,새조개 샤브샤브,서울특별시 강남구 대치4동 913-7
347,주은감자탕,감자탕,서울특별시 송파구 삼전동 132-13
348,원조감자탕일미집,감자탕,서울특별시 용산구 후암동 194-3
349,닭한마리감자탕,감자탕,서울특별시 강남구 신사동 512-18
350,아지겐,이자카야,서울특별시 용산구 이촌동 301-153
351,금홍,중식,서울특별시 용산구 이촌동 301-160
352,갯마을,떡만두국,서울특별시 용산구 한강로3가 65-550
353,북악정,소고기구이,서울특별시 종로구 평창동 114-12
354,다운타우너,수제버거 #아보카도 버거,서울특별시 용산구 한남동 683-63
